area,file,lat,lon,radius_km,Shops,Supermarkets,Markets,Mosques,Churches,Places of worship (other),Schools,Nurseries,Colleges,Hospitals,Clinics,Pharmacies,Banks,ATMs,Money transfer,Fuel stations,Restaurants & cafes,Bars,Police,Post offices,Fire stations,Ferry terminals,Bus & taxi ranks,Public water points,Government offices,Hotels & guesthouses,Sports grounds & gyms,Nature reserves,Libraries,Workshops
Banjul,banjul.html,13.4554,-16.5757,3,2,0,3,4,3,1,8,0,1,2,0,0,5,1,1,1,10,1,0,1,1,1,2,0,11,5,9,1,1,4
Banjul,banjul.html,13.4554,-16.5757,5,2,0,3,6,3,1,8,0,1,2,0,0,6,1,1,1,10,1,1,1,1,3,2,0,11,6,10,1,1,4
Bansang,bansang.html,13.4358,-14.6588,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0
Bansang,bansang.html,13.4358,-14.6588,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0
Bansang,bansang.html,13.4358,-14.6588,3,0,0,1,2,0,0,3,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0
Bansang,bansang.html,13.4358,-14.6588,5,0,0,1,3,0,0,6,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0
Barra,barra.html,13.4855,-16.543,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0
Barra,barra.html,13.4855,-16.543,2,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,4,1,0,0,0
Barra,barra.html,13.4855,-16.543,3,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,5,2,0,0,0
Barra,barra.html,13.4855,-16.543,5,0,0,1,4,1,1,3,0,0,1,0,0,5,1,1,0,4,1,1,1,0,2,1,0,8,7,8,0,0,0
Basse Santa Su,basse.html,13.31,-14.215,1,17,0,0,2,3,0,3,0,0,3,0,0,9,2,0,4,2,3,0,0,0,3,0,0,6,5,1,0,0,3
Basse Santa Su,basse.html,13.31,-14.215,2,21,0,0,5,3,0,11,0,0,5,1,0,9,2,0,6,5,5,0,0,1,3,0,0,13,10,3,0,0,3
Basse Santa Su,basse.html,13.31,-14.215,3,21,0,0,5,3,0,11,0,0,5,1,0,9,2,0,6,5,5,0,0,1,3,0,0,13,11,3,0,0,3
Basse Santa Su,basse.html,13.31,-14.215,5,21,0,0,5,3,0,14,1,0,5,1,0,9,2,0,6,5,5,0,0,1,3,0,0,13,11,3,0,0,3
Batokunku,batokunku.html,13.3268,-16.7991,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Batokunku,batokunku.html,13.3268,-16.7991,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Batokunku,batokunku.html,13.3268,-16.7991,3,2,0,0,3,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2,0,1,0
Batokunku,batokunku.html,13.3268,-16.7991,5,3,1,0,3,2,0,6,0,0,0,5,0,0,0,0,3,5,0,0,0,0,0,2,0,0,12,4,0,2,0
Bijilo,bijilo.html,13.4219,-16.7328,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0
Bijilo,bijilo.html,13.4219,-16.7328,2,46,3,5,3,0,0,1,0,1,3,2,5,4,2,5,5,11,3,2,0,0,0,4,0,0,19,5,1,0,0
Bijilo,bijilo.html,13.4219,-16.7328,3,84,7,8,9,0,0,6,0,2,5,2,7,7,4,7,7,69,13,3,0,0,0,7,0,0,37,15,1,0,0
Bijilo,bijilo.html,13.4219,-16.7328,5,102,11,10,18,3,0,19,0,2,9,2,9,9,6,9,12,98,23,5,0,1,0,12,0,0,62,34,1,0,0
Brikama,brikama.html,13.2744,-16.6454,1,3,2,2,6,0,0,7,1,0,2,0,1,4,0,0,5,1,0,2,1,0,0,4,0,1,0,2,0,0,0
Brikama,brikama.html,13.2744,-16.6454,2,7,2,2,18,0,1,20,1,0,2,1,2,4,0,0,8,3,0,4,1,0,0,4,0,1,1,7,0,0,0
Brikama,brikama.html,13.2744,-16.6454,3,7,2,4,21,0,1,26,1,0,2,1,2,4,0,0,11,4,0,4,1,0,0,4,0,1,1,14,0,0,0
Brikama,brikama.html,13.2744,-16.6454,5,8,2,5,24,0,1,31,2,0,2,2,2,4,0,0,12,4,0,4,1,0,0,5,0,1,2,19,2,0,0
Brufut,brufut.html,13.3813,-16.7517,1,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Brufut,brufut.html,13.3813,-16.7517,2,4,0,0,4,0,0,4,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0
Brufut,brufut.html,13.3813,-16.7517,3,15,1,1,7,1,1,7,0,0,2,0,2,0,0,1,1,5,2,0,0,0,0,0,8,0,4,5,0,0,0
Brufut,brufut.html,13.3813,-16.7517,5,69,5,7,15,1,1,16,0,1,8,5,8,4,2,7,6,19,5,3,0,0,0,4,30,0,27,21,3,0,0
Brusubi,brusubi.html,13.4073,-16.7306,1,55,4,6,3,0,0,1,0,1,2,2,6,4,2,6,5,10,1,3,0,0,0,4,0,0,4,9,0,0,0
Brusubi,brusubi.html,13.4073,-16.7306,2,62,4,6,5,0,0,5,0,1,4,2,6,4,2,7,6,15,3,3,0,0,0,4,0,0,19,11,0,0,0
Brusubi,brusubi.html,13.4073,-16.7306,3,69,4,6,12,0,0,7,0,1,7,2,7,4,2,7,6,19,3,3,0,0,0,4,0,0,23,12,1,0,0
Brusubi,brusubi.html,13.4073,-16.7306,5,100,10,9,23,1,1,16,0,2,10,2,9,7,6,9,9,91,22,3,0,0,0,8,18,0,50,35,2,0,0
Busumbala,busumbala.html,13.3334,-16.6667,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
Busumbala,busumbala.html,13.3334,-16.6667,2,1,0,2,1,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,11,0,0,0
Busumbala,busumbala.html,13.3334,-16.6667,3,2,1,3,3,0,2,6,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,3,0,0,4,14,0,0,0
Busumbala,busumbala.html,13.3334,-16.6667,5,3,1,5,7,0,3,14,0,0,0,0,0,2,0,0,5,0,1,4,0,1,0,3,0,0,5,28,1,0,0
Cape Point,cape-point.html,13.4849,-16.6661,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,3,0,0,0,0
Cape Point,cape-point.html,13.4849,-16.6661,2,2,0,1,5,0,0,2,0,0,0,0,0,1,1,0,1,7,1,0,0,0,0,0,0,0,6,2,0,0,0
Cape Point,cape-point.html,13.4849,-16.6661,3,6,0,1,6,2,0,13,0,2,4,2,0,2,1,0,3,11,1,0,0,0,0,0,0,8,11,19,0,0,0
Cape Point,cape-point.html,13.4849,-16.6661,5,47,8,1,11,4,0,32,1,7,5,2,2,14,6,3,12,43,1,1,2,0,0,6,0,15,24,40,0,2,2
Essau,essau.html,13.4858,-16.5262,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Essau,essau.html,13.4858,-16.5262,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0
Essau,essau.html,13.4858,-16.5262,3,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,5,2,0,0,0
Essau,essau.html,13.4858,-16.5262,5,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,5,3,0,0,0
Fajara,fajara.html,13.469,-16.6914,1,22,5,0,0,2,0,4,1,2,1,0,0,3,2,1,1,21,0,1,0,0,0,1,0,1,5,9,0,0,0
